[rosmaster.master][INFO] 2026-07-09 16:11:20,219: +SERVICE [/random_forest/get_loggers] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,220: +SERVICE [/car_1_laser_simulator/set_logger_level] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,220: +SERVICE [/random_forest/set_logger_level] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,223: +PUB [/map_generator/local_cloud] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,224: +PUB [/map_generator/global_cloud] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,228: +SUB [/random_forest/odometry] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,229: +PUB [/pcl_render_node/local_map] /random_forest http://localhost:37957/
[rosmaster.master][INFO] 2026-07-09 16:11:20,234: +SUB [/globalFsm_by_adsm/obs_predict_pub] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,236: +SUB [/map_generator/global_cloud] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,237: +SUB [/robot1/odom] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,238: +PUB [/safety_margin/beta] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,239: +PUB [/safety_margin/guard_log] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,240: +PUB [/safety_margin/vis_obstacles] /beta_ground_truth_node http://localhost:38927/
[rosmaster.master][INFO] 2026-07-09 16:11:20,241: +CACHEDPARAM [/rosout_disable_topics_generation] by /beta_ground_truth_node
[rosmaster.master][INFO] 2026-07-09 16:11:20,242: +SUB [/robot1/odom] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,246: +PUB [/velodyne_points] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,247: +PUB [/velodyne_points_world] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,248: +PUB [/car_1_laser_simulator/car_1_laser_range] /car_1_laser_simulator http://localhost:36015/
[rosmaster.master][INFO] 2026-07-09 16:11:20,251: +PUB [/rosout] /mpc_secbf_node http://localhost:32847/
[rosmaster.master][INFO] 2026-07-09 16:11:20,252: +SERVICE [/mpc_secbf_node/get_loggers] /mpc_secbf_node http://localhost:32847/
