time,obs_id,class,beta_bar,mu,beta_requested,beta_applied,guard_upper_bound,guard_passed,guard_status,d_i,rel_v_norm,ttc,ttc_norm,inv_ttc,cos_delta,rho_i,rho_norm,group_flag,h_ee,h_see,R_base,R_sem
1780837943.964979172,0,adult,0.400000000,0.799986842,0.319994737,0.319994737,0.400000000,1,accept,5.496029464,1.014072043,5.420118916,0.000000000,0.184497797,-0.999934212,0.000000000,0.000000000,0,4.491592249,4.171597512,0.801636660,1.121631397
1780837944.014969587,0,adult,0.400000000,0.799982578,0.319993031,0.319993031,0.400000000,1,accept,5.456530972,1.014072043,5.381280720,0.000000000,0.185829369,-0.999912890,0.000000000,0.000000000,0,4.452098253,4.132105221,0.801636660,1.121629691
1780837944.065520763,0,adult,0.400000000,0.807552331,0.323020932,0.323020932,0.400000000,1,accept,5.390431916,1.135603784,4.747378621,0.050524276,0.210642563,-0.999868449,0.000000000,0.000000000,0,4.361705691,4.038684759,0.801636660,1.124657593
1780837944.115264177,0,adult,0.400000000,0.808699311,0.323479724,0.323479724,0.400000000,1,accept,5.346558896,1.135603784,4.708907742,0.058218452,0.212363473,-0.999832714,0.000000000,0.000000000,0,4.317841159,3.994361435,0.801636660,1.125116384
1780837944.165430307,0,adult,0.400000000,0.817623769,0.327049508,0.327049508,0.400000000,1,accept,5.276950211,1.196597177,4.410990011,0.117801998,0.226706476,-0.999767347,0.000000000,0.000000000,0,4.236052439,3.909002931,0.801636660,1.128686168
1780837944.215231895,0,adult,0.400000000,0.818779523,0.327511809,0.327511809,0.400000000,1,accept,5.230239876,1.196597177,4.372150912,0.125569818,0.228720376,-0.999720251,0.000000000,0.000000000,0,4.189353939,3.861842130,0.801636660,1.129148469
1780837944.265719891,0,adult,0.400000000,0.803369744,0.321347897,0.321347897,0.400000000,1,accept,5.168175344,1.058251900,4.885375964,0.022924807,0.204692537,-0.999655113,0.000000000,0.000000000,0,4.154964416,3.833616518,0.801636660,1.122984558
1780837944.315677166,0,adult,0.400000000,0.804528511,0.321811404,0.321811404,0.400000000,1,accept,5.126767729,1.058251900,4.846451501,0.030709700,0.206336533,-0.999610281,0.000000000,0.000000000,0,4.113566725,3.791755320,0.801636660,1.123448065
1780837944.365710735,0,adult,0.400000000,0.823568038,0.329427215,0.329427215,0.400000000,1,accept,5.055991983,1.201144283,4.211281759,0.157743648,0.237457396,-0.999532452,0.000000000,0.000000000,0,4.014244387,3.684817172,0.801636660,1.131063875
1780837944.415219784,0,adult,0.400000000,0.824731595,0.329892638,0.329892638,0.400000000,1,accept,5.008745409,1.201144283,4.172147336,0.165570533,0.239684728,-0.999480078,0.000000000,0.000000000,0,3.967011083,3.637118444,0.801636660,1.131529298
1780837944.465571165,0,adult,0.400000000,0.810642445,0.324256978,0.324256978,0.400000000,1,accept,4.945617061,1.066195352,4.641309921,0.071738016,0.215456416,-0.999408715,0.000000000,0.000000000,0,3.930873096,3.606616118,0.801636660,1.125893638
1780837944.515416861,0,adult,0.400000000,0.811808705,0.324723482,0.324723482,0.400000000,1,accept,4.903611001,1.066195352,4.602111610,0.079577678,0.217291558,-0.999360268,0.000000000,0.000000000,0,3.888877886,3.564154404,0.801636660,1.126360142
1780837944.565192223,0,adult,0.400000000,0.828226255,0.331290502,0.331290502,0.400000000,1,accept,4.832768644,1.192871204,4.054305761,0.189138848,0.246651353,-0.999277138,0.000000000,0.000000000,0,3.792739152,3.461448650,0.801636660,1.132927162
1780837944.615351200,0,adult,0.400000000,0.829394606,0.331757842,0.331757842,0.400000000,1,accept,4.785624512,1.192871204,4.014983160,0.197003368,0.249067047,-0.999220504,0.000000000,0.000000000,0,3.745609332,3.413851489,0.801636660,1.133394502
1780837944.665125847,0,adult,0.400000000,0.842222923,0.336889169,0.336889169,0.400000000,1,accept,4.707656494,1.313686265,3.586703049,0.282659390,0.278807581,-0.999120074,0.000000000,0.000000000,0,3.643527429,3.306638260,0.801636660,1.138525829
1780837944.715359449,0,adult,0.400000000,0.843387090,0.337354836,0.337354836,0.400000000,1,accept,4.655701621,1.313686265,3.547389722,0.290522056,0.281897417,-0.999043909,0.000000000,0.000000000,0,3.591593925,3.254239089,0.801636660,1.138991496
1780837944.765184879,0,adult,0.400000000,0.831359720,0.332543888,0.332543888,0.400000000,1,accept,4.586956276,1.163215525,3.947557059,0.210488588,0.253321228,-0.998932158,0.000000000,0.000000000,0,3.552938202,3.220394314,0.801636660,1.134180548
1780837944.815175772,0,adult,0.400000000,0.832519854,0.333007941,0.333007941,0.400000000,1,accept,4.541016511,1.163215525,3.908340926,0.218331815,0.255863042,-0.998850407,0.000000000,0.000000000,0,3.507018623,3.174010682,0.801636660,1.134644602
1780837944.865505934,0,adult,0.400000000,0.846462945,0.338585178,0.338585178,0.400000000,1,accept,4.464149997,1.298443111,3.442559158,0.311488168,0.290481573,-0.998698598,0.000000000,0.000000000,0,3.403183533,3.064598355,0.801636660,1.140221838
