t,mpc_status,cmd_v,cmd_w,obs_count,beta_count,used_fallback,slack,solve_time_ms
1780837951.900240660,success,1.148083300,0.001712233,1,1,0,0.000000000,21.958324000
1780837952.004613400,success,1.015370188,0.000680966,1,1,0,0.000000000,26.345695000
1780837952.101448298,success,1.121972441,0.040670179,1,1,0,0.000000000,23.320573000
1780837952.199424744,success,0.993572342,0.038722549,1,1,0,0.000000000,21.228121000
1780837952.304541349,success,0.872325725,0.033450886,1,1,0,0.000000000,26.272174000
1780837952.401371956,success,0.965695714,0.071333256,1,1,0,0.000000000,23.080828000
1780837952.505082846,success,1.003407827,-0.030708085,1,1,0,0.000000000,26.869223000
1780837952.601057053,success,0.885745919,-0.033696247,1,1,0,0.000000000,22.863278000
1780837952.703927755,success,0.963273505,-0.001403365,1,1,0,0.000000000,25.667537000
1780837952.799121857,success,0.852340215,0.007359625,1,1,0,0.000000000,20.922444000
1780837952.901962519,success,0.748225883,0.012050178,1,1,0,0.000000000,23.799954000
1780837953.001922369,success,0.798893218,0.041155816,1,1,0,0.000000000,23.730056000
1780837953.103528500,success,0.706291173,0.043197997,1,1,0,0.000000000,25.269428000
1780837953.206069708,success,0.617896949,0.041365260,1,1,0,0.000000000,27.842974000
1780837953.300784111,success,0.675839037,0.057017938,1,1,0,0.000000000,22.520590000
1780837953.405761480,success,0.596942405,0.053770588,1,1,0,0.000000000,27.511641000
1780837953.500819921,success,0.521940327,0.049461854,1,1,0,0.000000000,22.552236000
1780837953.600934505,success,0.458053197,0.045740738,1,1,0,0.000000000,22.677716000
1780837953.702000618,success,0.476479003,0.045061589,1,1,0,0.000000000,23.831786000
1780837953.803386450,success,0.420858538,0.043098556,1,1,0,0.000000000,25.139703000
1780837953.900295019,success,0.368007279,0.040605827,1,1,0,0.000000000,22.063270000
1780837954.003440142,success,0.322999234,0.037831704,1,1,0,0.000000000,25.221713000
1780837954.104336023,success,0.282445178,0.035062166,1,1,0,0.000000000,26.169685000
1780837954.201989651,success,0.246951480,0.031699615,1,1,0,0.000000000,23.736322000
1780837954.301019907,success,0.215658392,0.029857312,1,1,0,0.000000000,22.814398000
1780837954.401109219,success,0.188276501,0.026969334,1,1,0,0.000000000,22.927281000
1780837954.503183126,success,0.164737727,0.018914734,1,1,0,0.000000000,25.028521000
1780837954.606107950,success,0.143683505,0.016335560,1,1,0,0.000000000,27.908806000
1780837954.704964638,success,0.125749453,0.014484177,1,1,0,0.000000000,26.807605000
1780837954.804677963,success,0.110051375,0.012328673,1,1,0,0.000000000,26.404809000
1780837954.902263403,success,0.096130705,0.009733990,1,1,0,0.000000000,24.048699000
1780837955.005214214,success,0.083855747,0.008078201,1,1,0,0.000000000,27.015507000
1780837955.101304531,success,0.073352538,0.006942634,1,1,0,0.000000000,23.118077000
1780837955.205545902,success,0.064370289,0.006163370,1,1,0,0.000000000,27.388254000
1780837955.301017761,success,0.056276803,0.005002134,1,1,0,0.000000000,22.838883000
1780837955.404881001,success,0.049281443,0.004545521,1,1,0,0.000000000,26.693341000
1780837955.505716562,success,0.043019809,0.004197578,1,1,0,0.000000000,27.493673000
1780837955.602421284,success,0.037522597,0.003556654,1,1,0,0.000000000,24.233899000
1780837955.702675819,success,0.032709659,0.003506716,1,1,0,0.000000000,24.466506000
1780837955.804096460,success,0.028371174,0.003092581,1,1,0,0.000000000,25.906001000
1780837955.904128313,success,0.024805690,0.002961158,1,1,0,0.000000000,25.955817000
1780837956.004745483,success,0.021773284,0.002699659,1,1,0,0.000000000,26.607442000
1780837956.101316929,success,0.019009789,0.002466183,1,1,0,0.000000000,23.023516000
1780837956.201445818,success,0.016785553,0.002313159,1,1,0,0.000000000,23.254821000
1780837956.304884434,success,0.014754714,0.002182903,1,1,0,0.000000000,26.637303000
1780837956.401904106,success,0.012948769,0.001913830,1,1,0,0.000000000,23.635854000
1780837956.501671791,success,0.011324243,0.001768460,1,1,0,0.000000000,23.404687000
1780837956.602194786,success,0.009909957,0.001642013,1,1,0,0.000000000,23.936115000
1780837956.703170538,success,0.008642477,0.001621445,1,1,0,0.000000000,24.994084000
1780837956.803137779,success,0.007207027,0.001541373,1,1,0,0.000000000,24.995995000
1780837956.901290178,success,0.005915156,0.001485923,1,1,0,0.000000000,23.094819000
1780837957.004006386,success,0.005069123,0.001383180,1,1,0,0.000000000,25.772668000
1780837957.098138094,success,0.004370922,0.001296769,1,1,0,0.000000000,20.010011000
1780837957.201043606,success,0.003857273,0.001176864,1,1,0,0.000000000,22.840540000
1780837957.302227259,success,0.003341809,0.001019470,1,1,0,0.000000000,24.142162000
1780837957.405642033,success,0.002819887,0.001092900,1,1,0,0.000000000,27.459092000
1780837957.504295826,success,0.002190365,0.001113718,1,1,0,0.000000000,26.116932000
1780837957.598644257,success,0.001788878,0.001041825,1,1,0,0.000000000,20.422159000
1780837957.701568365,success,0.001835377,0.001086230,1,1,0,0.000000000,23.424444000
1780837957.804404020,success,0.001442861,0.001038303,1,1,0,0.000000000,26.215741000
1780837957.908041000,success,0.001166290,0.000881481,1,1,0,0.000000000,29.830414000
1780837958.005043268,success,0.001141999,0.000844236,1,1,0,0.000000000,26.897905000
1780837958.104147434,success,0.001000316,0.000838360,1,1,0,0.000000000,25.833205000
1780837958.203115940,success,0.000653596,0.000727847,1,1,0,0.000000000,24.840546000
1780837958.305880308,success,0.000351467,0.000813631,1,1,0,0.000000000,27.655382000
1780837958.396384716,success,0.000358004,0.000788931,1,1,0,0.000000000,18.096445000
1780837958.500603676,success,0.000420892,0.000751602,1,1,0,0.000000000,22.324126000
1780837958.600752592,success,0.000244047,0.000708020,1,1,0,0.000000000,22.575770000
1780837958.702298403,success,0.000299014,0.000709009,1,1,0,0.000000000,24.026100000
1780837958.802165270,success,0.000149469,0.000741939,1,1,0,0.000000000,23.883940000
1780837958.903332472,success,0.000183452,0.000731603,1,1,0,0.000000000,25.128205000
1780837959.011083603,success,0.000198558,0.000740570,1,1,0,0.000000000,32.811277000
1780837959.099848986,success,0.000149966,0.000643276,1,1,0,0.000000000,21.537938000
1780837959.204615355,success,0.000246220,0.000679833,1,1,0,0.000000000,26.399329000
1780837959.304415941,success,0.000177316,0.000616135,1,1,0,0.000000000,26.204186000
1780837959.402304888,success,0.000036899,0.000644711,1,1,0,0.000000000,24.029523000
1780837959.502370358,success,-0.000101204,0.000626417,1,1,0,0.000000000,24.049522000
1780837959.600780010,success,-0.000260365,0.000702306,1,1,0,0.000000000,22.599117000
1780837959.702413559,success,-0.000177224,0.000761523,1,1,0,0.000000000,24.229473000
1780837959.797449112,success,-0.000443541,0.000695828,1,1,0,0.000000000,19.170105000
1780837959.903679609,success,-0.000517906,0.000667849,1,1,0,0.000000000,25.374633000
1780837960.002109051,success,-0.000424357,0.000626884,1,1,0,0.000000000,23.805962000
1780837960.101463079,success,-0.000134855,0.000737000,1,1,0,0.000000000,23.202414000
1780837960.201023102,success,-0.000249187,0.000669903,1,1,0,0.000000000,22.823687000
1780837960.302256823,success,-0.000221465,0.000641396,1,1,0,0.000000000,24.038058000
1780837960.393430948,success,-0.000529163,0.000548457,1,1,0,0.000000000,15.174093000
1780837960.493129015,success,-0.000454442,0.000535838,1,1,0,0.000000000,15.010116000
1780837960.593375206,success,-0.000498157,0.000565230,1,1,0,0.000000000,15.105237000
