t,x,y,yaw,v,w,cmd_v,cmd_w
1780837942.981442451,-0.002096412,0.001176054,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.001500130,-0.002130331,0.001158973,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.021336317,-0.002129244,0.001159729,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.041494608,-0.002044647,0.001126857,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.061541796,-0.002028905,0.001173813,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.081453323,-0.002103970,0.001263142,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.101600885,-0.002046559,0.001309771,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.121508598,-0.002123398,0.001328754,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.141467094,-0.002047565,0.001337936,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.161383867,-0.001962327,0.001333699,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.181562424,-0.001997330,0.001429806,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.201454401,-0.001965113,0.001352925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.221469164,-0.001984590,0.001315067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.241401196,-0.002029807,0.001378357,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.261468649,-0.002054951,0.001447438,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.281467676,-0.002048175,0.001382807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.301509142,-0.002108712,0.001386136,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.321445942,-0.002030384,0.001331066,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.341451883,-0.001949108,0.001400300,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.361475468,-0.002041283,0.001311712,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.381454945,-0.002044521,0.001223049,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.401565075,-0.002033318,0.001316476,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.421375275,-0.002133209,0.001309476,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.441515446,-0.002128193,0.001245116,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.461475611,-0.002151033,0.001229351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.481412411,-0.002205020,0.001205114,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.501259327,-0.002201183,0.001128522,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837943.521420240,0.022208960,0.001139105,-0.014666638,1.222878060,-0.733331881,1.222878060,-0.733331881
1780837943.541806936,0.046633293,0.000794033,-0.029333275,1.222878060,-0.733331881,1.222878060,-0.733331881
1780837943.561673641,0.071097489,0.000170432,-0.043999913,1.222878060,-0.733331881,1.222878060,-0.733331881
1780837943.581657171,0.095441629,-0.000923034,-0.058666550,1.222878060,-0.733331881,1.222878060,-0.733331881
1780837943.601444721,0.119862138,-0.002273290,-0.073333188,1.222878060,-0.733331881,1.222878060,-0.733331881
1780837943.621483564,0.142560496,-0.003961373,-0.085590800,1.139856825,-0.612880614,1.139856825,-0.612880614
1780837943.641566038,0.165333975,-0.005937946,-0.097848413,1.139856825,-0.612880614,1.139856825,-0.612880614
1780837943.661530733,0.188112425,-0.008188639,-0.110106025,1.139856825,-0.612880614,1.139856825,-0.612880614
1780837943.681491137,0.210681139,-0.010619810,-0.122363637,1.139856825,-0.612880614,1.139856825,-0.612880614
1780837943.701502323,0.233386863,-0.013442805,-0.134621249,1.139856825,-0.612880614,1.139856825,-0.612880614
