t,id,class,x,y,radius,vx,vy,d_i,rel_v,TTC,h_EE
1780837950.965621471,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,2.749648868,1.082998185,-1.000000000,2.145680575
1780837951.015498638,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,2.789103690,1.082998185,-1.000000000,2.185473684
1780837951.065736532,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,2.857808064,1.257216615,-1.000000000,2.287147823
1780837951.115370512,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,2.901126730,1.115654131,-1.000000000,2.304782344
1780837951.165583611,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,2.962528411,1.115654131,-1.000000000,2.366842889
1780837951.215755701,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.003496638,1.115654131,-1.000000000,2.408232644
1780837951.265630245,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.072265372,1.245098692,-1.000000000,2.501626722
1780837951.315406084,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.118140446,1.245098692,-1.000000000,2.547836922
1780837951.365648270,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.179198999,1.103161782,-1.000000000,2.582787445
1780837951.415554285,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.220158924,1.103161782,-1.000000000,2.623994548
1780837951.465658426,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.273917673,0.965394504,-1.000000000,2.652278717
1780837951.515706778,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.309685820,0.965394504,-1.000000000,2.688232424
1780837951.565573931,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.372521748,1.123580060,-1.000000000,2.781259975
1780837951.615421772,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.414479196,1.123580060,-1.000000000,2.823561395
1780837951.665577412,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.470641912,0.997467568,-1.000000000,2.856392569
1780837951.715548754,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.510275334,1.114786822,-1.000000000,2.918393949
1780837951.765405178,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.572807190,1.114786822,-1.000000000,2.981210842
1780837951.815606833,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.614579742,1.114786822,-1.000000000,3.023168238
1780837951.865716219,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.670311498,0.985070055,-1.000000000,3.054573229
1780837951.915639877,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.710465049,1.148083300,-1.000000000,3.125818573
1780837951.965812445,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,3.775392536,1.148083300,-1.000000000,3.191170463
