t,mpc_secbf_ms,total_loop_time_ms
1780837949.098311663,20.047672000,20.047672000
1780837949.202213287,23.908947000,23.908947000
1780837949.305621386,27.360144000,27.360144000
1780837949.401754379,23.476048000,23.476048000
1780837949.502414465,24.142120000,24.142120000
1780837949.601077795,22.785118000,22.785118000
1780837949.705953121,27.750694000,27.750694000
1780837949.800174236,21.890020000,21.890020000
1780837949.903879642,25.617212000,25.617212000
1780837950.008349895,30.093765000,30.093765000
1780837950.102658510,24.434594000,24.434594000
1780837950.206520319,28.271457000,28.271457000
1780837950.304655790,26.460887000,26.460887000
1780837950.402865171,24.576985000,24.576985000
1780837950.502331495,24.107302000,24.107302000
1780837950.603297234,24.947319000,24.947319000
1780837950.704070568,25.753419000,25.753419000
1780837950.810980320,32.657724000,32.657724000
1780837950.906246424,27.936075000,27.936075000
1780837951.002825975,24.635841000,24.635841000
1780837951.100443363,22.313967000,22.313967000
1780837951.201512337,23.222300000,23.222300000
1780837951.302772760,24.603274000,24.603274000
1780837951.404685736,26.496064000,26.496064000
1780837951.505065918,26.773462000,26.773462000
1780837951.607010603,28.808042000,28.808042000
1780837951.700526476,22.259127000,22.259127000
1780837951.803537607,25.370228000,25.370228000
1780837951.900240660,21.958324000,21.958324000
1780837952.004613400,26.345695000,26.345695000
1780837952.101448298,23.320573000,23.320573000
1780837952.199424744,21.228121000,21.228121000
1780837952.304541349,26.272174000,26.272174000
1780837952.401371956,23.080828000,23.080828000
1780837952.505082846,26.869223000,26.869223000
1780837952.601057053,22.863278000,22.863278000
1780837952.703927755,25.667537000,25.667537000
1780837952.799121857,20.922444000,20.922444000
1780837952.901962519,23.799954000,23.799954000
1780837953.001922369,23.730056000,23.730056000
1780837953.103528500,25.269428000,25.269428000
1780837953.206069708,27.842974000,27.842974000
1780837953.300784111,22.520590000,22.520590000
1780837953.405761480,27.511641000,27.511641000
1780837953.500819921,22.552236000,22.552236000
1780837953.600934505,22.677716000,22.677716000
1780837953.702000618,23.831786000,23.831786000
1780837953.803386450,25.139703000,25.139703000
1780837953.900295019,22.063270000,22.063270000
1780837954.003440142,25.221713000,25.221713000
1780837954.104336023,26.169685000,26.169685000
1780837954.201989651,23.736322000,23.736322000
1780837954.301019907,22.814398000,22.814398000
1780837954.401109219,22.927281000,22.927281000
1780837954.503183126,25.028521000,25.028521000
1780837954.606107950,27.908806000,27.908806000
1780837954.704964638,26.807605000,26.807605000
1780837954.804677963,26.404809000,26.404809000
1780837954.902263403,24.048699000,24.048699000
1780837955.005214214,27.015507000,27.015507000
1780837955.101304531,23.118077000,23.118077000
1780837955.205545902,27.388254000,27.388254000
1780837955.301017761,22.838883000,22.838883000
1780837955.404881001,26.693341000,26.693341000
1780837955.505716562,27.493673000,27.493673000
1780837955.602421284,24.233899000,24.233899000
1780837955.702675819,24.466506000,24.466506000
1780837955.804096460,25.906001000,25.906001000
1780837955.904128313,25.955817000,25.955817000
1780837956.004745483,26.607442000,26.607442000
1780837956.101316929,23.023516000,23.023516000
1780837956.201445818,23.254821000,23.254821000
1780837956.304884434,26.637303000,26.637303000
1780837956.401904106,23.635854000,23.635854000
1780837956.501671791,23.404687000,23.404687000
1780837956.602194786,23.936115000,23.936115000
1780837956.703170538,24.994084000,24.994084000
1780837956.803137779,24.995995000,24.995995000
1780837956.901290178,23.094819000,23.094819000
1780837957.004006386,25.772668000,25.772668000
1780837957.098138094,20.010011000,20.010011000
1780837957.201043606,22.840540000,22.840540000
1780837957.302227259,24.142162000,24.142162000
1780837957.405642033,27.459092000,27.459092000
1780837957.504295826,26.116932000,26.116932000
1780837957.598644257,20.422159000,20.422159000
1780837957.701568365,23.424444000,23.424444000
1780837957.804404020,26.215741000,26.215741000
1780837957.908041000,29.830414000,29.830414000
1780837958.005043268,26.897905000,26.897905000
1780837958.104147434,25.833205000,25.833205000
1780837958.203115940,24.840546000,24.840546000
1780837958.305880308,27.655382000,27.655382000
1780837958.396384716,18.096445000,18.096445000
1780837958.500603676,22.324126000,22.324126000
1780837958.600752592,22.575770000,22.575770000
1780837958.702298403,24.026100000,24.026100000
1780837958.802165270,23.883940000,23.883940000
1780837958.903332472,25.128205000,25.128205000
1780837959.011083603,32.811277000,32.811277000
1780837959.099848986,21.537938000,21.537938000
1780837959.204615355,26.399329000,26.399329000
1780837959.304415941,26.204186000,26.204186000
1780837959.402304888,24.029523000,24.029523000
1780837959.502370358,24.049522000,24.049522000
1780837959.600780010,22.599117000,22.599117000
1780837959.702413559,24.229473000,24.229473000
1780837959.797449112,19.170105000,19.170105000
1780837959.903679609,25.374633000,25.374633000
1780837960.002109051,23.805962000,23.805962000
1780837960.101463079,23.202414000,23.202414000
1780837960.201023102,22.823687000,22.823687000
1780837960.302256823,24.038058000,24.038058000
1780837960.393430948,15.174093000,15.174093000
1780837960.493129015,15.010116000,15.010116000
1780837960.593375206,15.105237000,15.105237000
1780837960.702294111,24.008354000,24.008354000
1780837960.803465128,25.201683000,25.201683000
1780837960.894140720,15.954074000,15.954074000
1780837961.002024889,23.837304000,23.837304000
1780837961.099658012,21.375668000,21.375668000
1780837961.201093197,22.796378000,22.796378000
1780837961.302595615,24.311465000,24.311465000
1780837961.401980639,23.707521000,23.707521000
1780837961.492803574,14.642895000,14.642895000
1780837961.594881535,16.777856000,16.777856000
1780837961.697491646,19.231864000,19.231864000
1780837961.803165436,24.971322000,24.971322000
1780837961.900340796,22.025320000,22.025320000
1780837962.002844334,24.610171000,24.610171000
1780837962.104169369,25.970967000,25.970967000
1780837962.202058554,23.785864000,23.785864000
1780837962.306342840,28.053430000,28.053430000
1780837962.404930592,26.716035000,26.716035000
1780837962.507313013,29.132437000,29.132437000
1780837962.604660749,26.550629000,26.550629000
1780837962.703289509,25.148570000,25.148570000
1780837962.805540562,27.424660000,27.424660000
1780837962.905463219,27.327315000,27.327315000
1780837963.004836082,26.680288000,26.680288000
1780837963.101748466,23.561301000,23.561301000
1780837963.200448036,22.339486000,22.339486000
1780837963.297272205,19.105947000,19.105947000
1780837963.403736353,25.578562000,25.578562000
1780837963.504377842,26.199220000,26.199220000
1780837963.600740194,22.600357000,22.600357000
1780837963.701902628,23.761465000,23.761465000
1780837963.804512739,26.296756000,26.296756000
1780837963.906995296,28.824232000,28.824232000
1780837964.002020836,23.875435000,23.875435000
1780837964.101538658,23.386745000,23.386745000
1780837964.201728344,23.538995000,23.538995000
1780837964.301657915,23.488702000,23.488702000
1780837964.401671648,23.490219000,23.490219000
1780837964.504437685,26.276574000,26.276574000
1780837964.603318214,25.153494000,25.153494000
1780837964.700362206,22.259655000,22.259655000
1780837964.798799038,20.616381000,20.616381000
1780837964.901372671,23.149627000,23.149627000
1780837965.004564047,26.409597000,26.409597000
1780837965.101697445,23.578371000,23.578371000
1780837965.207149506,28.954634000,28.954634000
1780837965.301614761,23.501764000,23.501764000
1780837965.401843309,23.718285000,23.718285000
1780837965.498490810,20.305277000,20.305277000
1780837965.602778435,24.598908000,24.598908000
1780837965.698635101,20.420292000,20.420292000
1780837965.804495573,26.337660000,26.337660000
1780837965.901210308,23.036623000,23.036623000
1780837966.005808115,27.689949000,27.689949000
1780837966.100369215,22.176872000,22.176872000
